ID,Product Name,Function,Platform,Category
AI-00001,Digital Tool #1,Task automation,CLI,AI Assistant
AI-00002,Finance Bot #2,Recommendation,Desktop,Health Tech
AI-00003,Marketing Engine #3,Smart scheduling,Web,Health Tech
AI-00004,Automation Script #4,Data analysis,API,Digital Tool
AI-00005,Automation Script #5,Smart scheduling,API,Marketing Engine
AI-00006,Automation Script #6,Creative design,Embedded,Marketing Engine
AI-00007,Education Module #7,Data analysis,Web,Digital Tool
AI-00008,Finance Bot #8,Content generation,Embedded,Cybersecurity Tool
AI-00009,IoT Device #9,Virtual simulation,Desktop,Digital Tool
AI-00010,Finance Bot #10,Recommendation,Web,Health Tech
AI-00011,Digital Tool #11,Customer support,CLI,Creative Generator
AI-00012,Digital Tool #12,Task automation,API,Marketing Engine
AI-00013,Digital Tool #13,Task automation,Desktop,Automation Script
AI-00014,Digital Tool #14,Customer support,API,Health Tech
AI-00015,Health Tech #15,Customer support,Embedded,Creative Generator
AI-00016,Cybersecurity Tool #16,Customer support,API,Marketing Engine
AI-00017,Cybersecurity Tool #17,Customer support,Web,Education Module
AI-00018,Cybersecurity Tool #18,Task automation,Desktop,Finance Bot
AI-00019,Education Module #19,Smart scheduling,Mobile,Finance Bot
AI-00020,IoT Device #20,Customer support,Mobile,Finance Bot
AI-00021,Automation Script #21,Recommendation,Desktop,Education Module
AI-00022,Finance Bot #22,Creative design,Mobile,Automation Script
AI-00023,Creative Generator #23,Translation,CLI,Cybersecurity Tool
AI-00024,Cybersecurity Tool #24,Smart scheduling,Desktop,Automation Script
AI-00025,Marketing Engine #25,Recommendation,Embedded,Cybersecurity Tool
AI-00026,Automation Script #26,Recommendation,Mobile,Health Tech
AI-00027,Marketing Engine #27,Customer support,API,Cybersecurity Tool
AI-00028,Creative Generator #28,Real-time monitoring,Embedded,IoT Device
AI-00029,Health Tech #29,Data analysis,CLI,AI Assistant
AI-00030,IoT Device #30,Translation,CLI,Marketing Engine
AI-00031,Health Tech #31,Customer support,CLI,Creative Generator
AI-00032,Education Module #32,Smart scheduling,Embedded,Cybersecurity Tool
AI-00033,IoT Device #33,Customer support,CLI,Digital Tool
AI-00034,Cybersecurity Tool #34,Customer support,CLI,Automation Script
AI-00035,IoT Device #35,Customer support,Web,Health Tech
AI-00036,Education Module #36,Data analysis,Mobile,IoT Device
AI-00037,Marketing Engine #37,Task automation,Web,Cybersecurity Tool
AI-00038,Health Tech #38,Real-time monitoring,API,Education Module
